drug,file,lab,comment
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3000794.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3005955.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3010527.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3011858.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3014261.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3014324.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3024537.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3038785.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3039040.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3042278.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3044608.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3050542.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3058239.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3058419.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3058716.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3059576.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3063541.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3071461.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3072888.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3073037.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3074404.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3076122.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3076694.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3079369.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3079423.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3081108.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3081375.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3082955.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3085555.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3091169.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3092014.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3095949.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3103999.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3104073.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3109090.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3113517.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3119367.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3119576.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3124603.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3124706.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3131492.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3133663.xml,1,in the observational study conducted by cobra investigators tamoxifen was associated with a statistically significant reduction in total cholesterol in postmenopausal women with the er esr1 xbai gg genotype and in triglycerides in women with the er esr2 02 gg genotypes \( ref
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3136650.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3139698.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3140679.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3142315.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3145014.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3159742.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3166362.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3168115.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3169710.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3172684.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3175015.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3178393.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3180877.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0031XXXXX\PMC3185182.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3202603.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3202655.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3206152.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3206206.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3207003.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3214732.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3216677.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3221728.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3225566.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3230769.xml,0,none
